Mes,Ano,Data,Total_Rake
4,2023,2023-4,43297.239999999823
3,2023,2023-3,71701.56000000042
2,2023,2023-2,74191.540000000285
1,2023,2023-1,63719.589999999858
12,2022,2022-12,53102.659999999771
11,2022,2022-11,58739.739999999896
10,2022,2022-10,51440.229999999989
9,2022,2022-9,64436.649999999907
8,2022,2022-8,62110.780000000057
7,2022,2022-7,48099.129999999881
6,2022,2022-6,59327.769999999946
5,2022,2022-5,79631.529999999912
4,2022,2022-4,72261.829999999914
3,2022,2022-3,50685.509999999966
2,2022,2022-2,43883.779999999955
1,2022,2022-1,40423.619999999886
12,2021,2021-12,36064.3599999999
11,2021,2021-11,26819.630000000016
10,2021,2021-10,24094.740000000023
9,2021,2021-9,15338.070000000014
8,2021,2021-8,7137.7800000000025
7,2021,2021-7,8615.85
6,2021,2021-6,7312.0999999999995
5,2021,2021-5,10196.670000000006
4,2021,2021-4,63925.38
3,2021,2021-3,28560.309999999987
2,2021,2021-2,15381.230000000001
1,2021,2021-1,10875.240000000005
12,2020,2020-12,7708.8600000000015
11,2020,2020-11,7699.4599999999964
10,2020,2020-10,7260.4099999999962
9,2020,2020-9,11097.100000000004
8,2020,2020-8,18130.989999999969
7,2020,2020-7,12373.769999999995
6,2020,2020-6,9349.12
